Korean Marinated Beef ,1
Beef Tenderloin with Garlic and Brandy ,1
Green Beans with Bacon and Red Bell Pepper ,1
Gingered Shrimp with Asian Noodles ,0
Stuffed Eggs with Goat Cheese and Dill ,0
Swordfish Tacos ,0
"Fennel, Watercress, and Endive Salad with Toasted Pine Nuts ",0
Angel's Hair Pasta with Lemon and Pine Nuts ,1
Mashed Potatoes with Scallion ,1
Shrimp and Pea Shao Mai ,0
Cranberry Black Pepper Chutney ,0
Chilled Tomato Soup with Chipotle Cream ,0
Kielbasa and Lentil Salad with Warm Mustard-Fennel Dressing ,0
Beer-Batter-Fried Sardines and Lime ,0
Lobster Rolls with Lemon Vinaigrette and Garlic Butter ,0
Linguine with Clams in Black Bean Sauce ,0
Best-Ever Egg Salad Sandwiches ,0
Ceviche Acapulqueño ,0
Mashed Potatoes with Creamy Blue Cheese and Rosemary ,1
Lemon and Toasted-Coconut Meringue Pie ,1
Sweet Potato Salad with Orange-Maple Dressing ,1
"Potato Salad with Egg, Dill Pickle, and Tarragon ",0
Lemon Cream Pie ,1
Veal Meatballs with Braised Vegetables ,0
Tomatoes and Feta Cheese with Herb-and-Garlic Dressing ,1
Panna Cotta ,1
Fresh Fruit Platter with Ginger-Mango Sauce ,1
Miniature Olive Focaccias with Marinated Peppers ,1
Halibut with Olive Tarragon Bread Crumbs on Roasted Tomato and Garlic Coulis ,0
"Wild Mushroom Frittata with Cheddar, Green Onions, and Peas ",1
Breakfast Couscous with Dried-fruit compote ,0
Pork Cutlets with Figs and Balsamic Vinegar ,1
Deviled Crab with Sherry Sauce ,0
Chicken Breasts with Tomatoes and Capers ,1
Jamaican Jerk Chicken ,1
Shrimp and Pork Pot Stickers ,0
Chocolate Kumquat Spring Rolls ,0
Mushroom Flatbreads with Tricolor Roasted Peppers ,1
Avocado and Mango Salad with Passion Fruit Vinaigrette ,1
Baby Potatoes with Parsley and Lemon Butter ,1
Duck Ragù with Creamy Polenta ,0
Filet Mignon with Stroganov Sauce ,1
Linguine with Mussels ,0
Hummus ,1
Spicy Shrimp with Andouille Sausage on Grits ,0
Chopped Fried-Fish Tacos (Tacos de salpicón de pescado) ,0
Grilled Tuna Steaks with Cantaloupe Salsa ,0
Fudgy Coffee Brownies ,1
Fig and Goat Cheese Crostini ,1
"Pizza with Leeks, Tomato and Goat Cheese ",1
New England Clam Chowder ,0
Burrata Cheese with Tomato Salsa and Olive Salsa ,1
Roasted Chicken Legs with Vegetables and Arugula ,1
Salmon and Cucumber Pumpernickel Squares ,0
Sweet Potato Gnocchi with Brown Butter and Sage ,1
"Striped Bass with Swiss Chard, Chestnuts, and Pomegranate Vinaigrette ",0
Ricotta and Spinach Tortelloni in Tomato Sauce ,1
"Chicken Roasted with Tomatoes, Potatoes, and Olives ",1
Wine-Braised Lamb Shanks with Herbes de Provence ,1
Glazed Smoked Duck with Candied Kumquats ,0
Crusty Mustard-Dill Meat Loaf ,0
"Smoked Salmon, Avocado, and Horseradish Spirals ",0
Cheddar-Stuffed Mushrooms ,1
Top Sirloin Steak with Bell Pepper and Onion Sauté ,1
Shrimp in a Skillet with Creamy Tomato-Ouzo Sauce ,0
"Tomato, Pickled Onion, and Coriander Sandwiches ",0
"Roast Turkey with Prosciutto, Rosemary and Garlic ",1
Gnocchi with Mushrooms and Butternut Squash ,1
Dijon and Tarragon Grilled Chicken ,1
Grilled Herb Potatoes ,1
Crispy Fish with Sweet-and-Sour Sauce ,0
Black Cod with Olives and Potatoes in Parchment ,0
Indian-Spiced Chicken Kebabs with Cilantro-Mint Chutney ,1
Olive and Anchovy Stuffed Eggs ,0
Broiled Duck Breasts with Orange Chipotle Sauce ,0
Shredded Brussels Sprout and Ricotta Toast ,0
Roasted Pork Tenderloin with Sage Corn Bread Crust ,1
Corn on the Cob with Shallot-Thyme Butter ,1
Key Lime Mousse ,1
"Feta, Spinach, and Basil Omelette Muffins ",1
Pasta With 15-Minute Meat Sauce ,0
Green-Onion Risotto ,0
Butternut Squash and Hazelnut Lasagne ,1
Chicken Vegetable Soup with Ginger ,1
Chicken with Balsamic Vinegar ,1
Maple Baked Beans ,1
Lemon-Tarragon Chicken Salad Sandwiches ,1
Shrimp with Snow Peas ,0
"Toasted Orzo with Peas, Onion and Bacon ",1
Crab Cakes with Tomato Cream Sauce ,0
Endive with Smoked Trout and Herbed Cream Cheese ,0
Spanakopita ,1
Pasta Primavera ,1
Spinach Salad with Tamarind Dressing and Pappadam Croutons ,0
Pasta Paella with Clams and Spicy Sausage ,0
Cold Tuna Niçoise ,0
Cured Salmon with Fennel and Carrot Salad ,0
Seared Sea Scallops on Sautéed Spinach with Hoisin Butter Sauce ,0
Mexican Meatball Soup with Rice and Cilantro ,0
Sausages and Green Lentils with Tomato Salsa ,0
